ligand,receptor,n_sources,sources
ADCYAP1,ADCYAP1R1,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
PNOC,OPRL1,7,CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
PPY,NPY1R,7,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; stCASE
PPY,NPY2R,7,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; stCASE
PRLH,PRLHR,7,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; connectomeDB2020_lit; stCASE
PROS1,TYRO3,7,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; connectomeDB2020_lit; stCASE
PSPN,GFRA4,7,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit
PTN,SDC1,7,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; stCASE
RARRES2,CMKLR1,7,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; connectomeDB2020_lit; stCASE
RELN,ITGA3,7,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit
RELN,LRP8,7,CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
RELN,VLDLR,7,CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
SCGB3A2,MARCO,7,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; connectomeDB2020_lit; stCASE
SELPLG,SELE,7,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
SELPLG,SELP,7,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; connectomeDB2020_lit; stCASE
SEMA3A,NRP1,7,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit
SEMA3A,PLXNA3,7,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; stCASE
SEMA3B,NRP1,7,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit
SEMA3B,NRP2,7,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit
SEMA3F,NRP2,7,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit
SEMA3F,PLXNA1,7,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; stCASE
SEMA3G,NRP2,7,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit
SEMA4A,PLXNB3,7,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; stCASE
SEMA4D,CD72,7,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; connectomeDB2020_lit; stCASE
SEMA6D,KDR,7,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit
SEMA7A,ITGB1,7,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit
SEMA7A,PLXNC1,7,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; connectomeDB2020_lit; stCASE
SHH,PTCH1,7,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit
SHH,PTCH2,7,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit
SLIT1,ROBO1,7,CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
SLIT2,ROBO1,7,CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
SLIT2,ROBO2,7,CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
SPP1,ITGA4,7,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit
SPP1,ITGA9,7,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit
SPP1,ITGAV,7,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit
TGFB1,TGFBR1,7,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit
TGFB2,ACVR1,7,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit
TGFB2,TGFBR1,7,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit
THBS2,CD36,7,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; stCASE
THBS2,ITGB3,7,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; stCASE
TNC,ITGB6,7,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; stCASE
TNC,SDC1,7,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; stCASE
TNC,SDC4,7,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; stCASE
TNFSF13,TNFRSF13B,7,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; connectomeDB2020_lit; stCASE
TNFSF13,TNFRSF17,7,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; connectomeDB2020_lit; stCASE
TNFSF13B,TNFRSF13B,7,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; connectomeDB2020_lit; stCASE
TNFSF13B,TNFRSF17,7,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; connectomeDB2020_lit; stCASE
TNFSF15,TNFRSF25,7,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; connectomeDB2020_lit; stCASE
TNFSF18,TNFRSF18,7,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; connectomeDB2020_lit; stCASE
TNFSF4,TNFRSF4,7,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; connectomeDB2020_lit; stCASE
TNFSF8,TNFRSF8,7,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; connectomeDB2020_lit; stCASE
TNFSF9,TNFRSF9,7,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; connectomeDB2020_lit; stCASE
ULBP2,KLRK1,7,CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
ULBP3,KLRK1,7,CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
VCAM1,ITGB2,7,CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
VIP,SCTR,7,CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
VTN,ITGA8,7,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit
VTN,ITGAV,7,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit
VTN,ITGB1,7,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; stCASE
VTN,ITGB5,7,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; stCASE
VTN,PLAUR,7,CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
VWF,GP1BA,7,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit
VWF,ITGA2B,7,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit
VWF,ITGB3,7,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; stCASE
WNT1,FZD1,7,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit
WNT1,LRP5,7,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; stCASE
WNT2,FZD1,7,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit
WNT2,LRP6,7,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; stCASE
WNT3,FZD1,7,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit
WNT3A,FZD1,7,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit
WNT3A,FZD3,7,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; stCASE
WNT3A,LRP5,7,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; stCASE
WNT5A,FZD9,7,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; stCASE
WNT7A,LRP6,7,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; stCASE
WNT7B,FZD1,7,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit
WNT8A,LRP5,7,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; stCASE
WNT8B,LRP5,7,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; stCASE
WNT9B,LRP6,7,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; stCASE
ACE,BDKRB2,6,CellTalkDB; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
ADAM10,EPHA3,6,CellTalkDB; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
ADAM12,ITGA9,6,CellTalkDB; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
ADAM12,ITGB1,6,CellTalkDB; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
ADAM12,SDC4,6,CellTalkDB; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
ADAM15,ITGA5,6,CellTalkDB; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
ADAM15,ITGA9,6,CellTalkDB; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
ADAM15,ITGAV,6,CellTalkDB; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
ADAM15,ITGB1,6,CellTalkDB; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
ADAM15,ITGB3,6,CellTalkDB; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
ADAM17,ITGA5,6,CellTalkDB; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
ADAM17,ITGB1,6,CellTalkDB; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
ADAM17,NOTCH1,6,CellTalkDB; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
ADAM2,ITGA6,6,CellTalkDB; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
ADAM2,ITGA9,6,CellTalkDB; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
ADAM2,ITGB1,6,CellTalkDB; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
ADAM2,ITGB7,6,CellTalkDB; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
ADAM28,ITGA4,6,CellTalkDB; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
ADAM9,ITGA3,6,CellTalkDB; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
ADAM9,ITGA6,6,CellTalkDB; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
ADAM9,ITGAV,6,CellTalkDB; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
ADAM9,ITGB1,6,CellTalkDB; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
ADAM9,ITGB5,6,CellTalkDB; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
ADCYAP1,SCTR,6,CellTalkDB; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
ADCYAP1,VIPR1,6,CellTalkDB; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
ADCYAP1,VIPR2,6,CellTalkDB; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
ADM,RAMP1,6,CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; stCASE
ADM2,CALCRL,6,CellTalkDB; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
ADM2,RAMP1,6,CellTalkDB; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
ADM2,RAMP2,6,CellTalkDB; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
ADM2,RAMP3,6,CellTalkDB; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
AGRN,ATP1A3,6,CellTalkDB; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
AGRP,SDC3,6,CellTalkDB; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
AGT,LRP2,6,CellTalkDB; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
ALKAL1,ALK,6,CellTalkDB; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
ALKAL2,ALK,6,CellTalkDB; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
AMH,EGFR,6,CellTalkDB; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
ANGPT4,TEK,6,CellTalkDB; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
ANGPTL1,TEK,6,CellTalkDB; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
ANGPTL2,LILRB2,6,CellTalkDB; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
ANGPTL3,ITGA5,6,CellTalkDB; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
ANOS1,FGFR1,6,CellTalkDB; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
ANOS1,SDC2,6,CellTalkDB; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
ANXA1,EGFR,6,CellTalkDB; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
APOB,LDLR,6,CellTalkDB; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
APOB,LRP2,6,CellTalkDB; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
APOB,LSR,6,CellTalkDB; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
APOB,OLR1,6,CellTalkDB; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
APOD,LEPR,6,CellTalkDB; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
APOE,LDLR,6,CellTalkDB; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
APOE,LRP1,6,CellTalkDB; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
APOE,LRP2,6,CellTalkDB; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
APOE,LRP5,6,CellTalkDB; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
APOE,LRP8,6,CellTalkDB; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
APOE,TREM2,6,CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; stCASE
APOE,VLDLR,6,CellTalkDB; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
APP,FPR2,6,CellTalkDB; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
APP,GPC1,6,CellTalkDB; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
APP,LRP1,6,CellTalkDB; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
APP,NCSTN,6,CellTalkDB; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
APP,TNFRSF21,6,CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; connectomeDB2020_lit; stCASE
AREG,ERBB3,6,CellTalkDB; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
AVP,OXTR,6,CellTalkDB; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
AZGP1,ITGAV,6,CellTalkDB; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
B2M,CD1A,6,CellTalkDB; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
B2M,CD1B,6,CellTalkDB; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
BGN,TLR2,6,CellTalkDB; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
BGN,TLR4,6,CellTalkDB; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
BMP10,BMPR1A,6,CellTalkDB; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
BMP10,BMPR1B,6,CellTalkDB; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
BMP15,ACVR2A,6,CellTalkDB; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
BMP15,BMPR1A,6,CellTalkDB; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
BMP3,ACVR2B,6,CellTalkDB; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
BMP5,BMPR1A,6,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink
BMP5,BMPR1B,6,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink
BMP8A,BMPR1B,6,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink
BMP8B,BMPR1A,6,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink
BMP8B,BMPR1B,6,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink
BST2,LILRA4,6,CellTalkDB; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
BTC,ERBB3,6,CellTalkDB; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
BTLA,CD79A,6,CellTalkDB; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
C1QTNF1,AVPR2,6,CellTalkDB; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
C4B,CD46,6,CellTalkDB; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
C4B,CR1,6,CellTalkDB; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CALCA,RAMP3,6,CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; stCASE
CALCB,RAMP2,6,CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; stCASE
CALCB,RAMP3,6,CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; stCASE
CALR,ITGA3,6,CellTalkDB; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CALR,ITGAV,6,CellTalkDB; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CALR,LRP1,6,CellTalkDB; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CALR,MTNR1A,6,CellTalkDB; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CALR,TSHR,6,CellTalkDB; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CCL11,CCR2,6,CellTalkDB; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CCL11,CCR5,6,CellTalkDB; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CCL13,CCR2,6,CellTalkDB; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CCL13,CCR3,6,CellTalkDB; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CCL13,CCR5,6,CellTalkDB; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CCL13,CXCR3,6,CellTalkDB; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CCL14,CCR3,6,CellTalkDB; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CCL14,CCR5,6,CellTalkDB; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CCL15,CCR3,6,CellTalkDB; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CCL16,CCR2,6,CellTalkDB; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CCL16,CCR5,6,CellTalkDB; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CCL16,CCR8,6,CellTalkDB; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CCL16,HRH4,6,CellTalkDB; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CCL17,CCR8,6,CellTalkDB; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CCL18,CCR8,6,CellTalkDB; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CCL19,ACKR2,6,CellTalkDB; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CCL19,CCR10,6,CellTalkDB; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CCL19,CXCR3,6,CellTalkDB; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CCL2,CCR1,6,CellTalkDB; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CCL2,CCR10,6,CellTalkDB; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CCL2,CCR3,6,CellTalkDB; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CCL2,CCR4,6,CellTalkDB; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CCL2,CCR5,6,CellTalkDB; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CCL20,CXCR3,6,CellTalkDB; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CCL21,ACKR2,6,CellTalkDB; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CCL21,CXCR3,6,CellTalkDB; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CCL25,ACKR2,6,CellTalkDB; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CCL25,CCR10,6,CellTalkDB; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
