ligand,receptor,n_sources,sources
Adcyap1,Adcyap1r1,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Kitl,Kit,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; stCASE
L1cam,Itgav,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit
L1cam,Itgb3,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; stCASE
Lama1,Itgb4,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; stCASE
Lama2,Itgb4,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; stCASE
Lama3,Itgb4,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; stCASE
Lama4,Itgb1,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; stCASE
Lama5,Itgb4,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; stCASE
Lamb1,Itga6,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit
Lif,Il6st,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit
Lta,Tnfrsf14,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit
Madcam1,Itgb7,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Mstn,Acvr2a,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; stCASE
Mstn,Tgfbr1,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; stCASE
Nodal,Acvr1b,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit
Nodal,Acvr1c,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit
Npb,Npbwr1,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; connectomeDB2020_lit; stCASE
Nppb,Npr1,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Npw,Npbwr1,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; connectomeDB2020_lit; stCASE
Npy,Npy2r,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; connectomeDB2020_lit; stCASE
Npy,Npy5r,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; connectomeDB2020_lit; stCASE
Nrg1,Erbb3,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Nrg1,Erbb4,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Nrtn,Gfra2,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit
Ntf3,Ngfr,8,CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Ntn1,Dcc,8,CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Ntn1,Unc5a,8,CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Ntn1,Unc5b,8,CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Ntn1,Unc5c,8,CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Nts,Sort1,8,CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Osm,Il6st,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit
Ostn,Npr3,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; connectomeDB2020_lit; stCASE
Pdgfa,Pdgfrb,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; stCASE
Pomc,Mc3r,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; connectomeDB2020_lit; stCASE
Pomc,Mc4r,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; connectomeDB2020_lit; stCASE
Pomc,Mc5r,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; connectomeDB2020_lit; stCASE
Postn,Itgb3,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; stCASE
Ppbp,Cxcr2,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Prlh,Prlhr,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; connectomeDB2020_lit; stCASE
Pros1,Tyro3,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; connectomeDB2020_lit; stCASE
Psap,Gpr37,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; connectomeDB2020_lit; stCASE
Psap,Gpr37l1,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; connectomeDB2020_lit; stCASE
Pspn,Gfra4,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit
Pth,Pth2r,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; connectomeDB2020_lit; stCASE
Pth2,Pth2r,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; connectomeDB2020_lit; stCASE
Ptn,Sdc1,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; stCASE
Ptn,Sdc2,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; stCASE
Ptn,Sdc4,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; stCASE
Pyy,Npy5r,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; connectomeDB2020_lit; stCASE
Reln,Itga3,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit
Reln,Vldlr,8,CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Retn,Tlr4,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; stCASE
Sct,Sctr,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Selplg,Sele,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Selplg,Sell,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; connectomeDB2020_lit; stCASE
Selplg,Selp,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; connectomeDB2020_lit; stCASE
Sema3a,Nrp1,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit
Sema3b,Nrp1,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit
Sema3b,Plxna1,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; stCASE
Sema3c,Nrp2,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; connectomeDB2020_lit; stCASE
Sema3c,Plxna4,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; stCASE
Sema3g,Plxna4,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; stCASE
Sema4d,Cd72,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; connectomeDB2020_lit; stCASE
Sema5a,Plxna1,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; stCASE
Sema6b,Plxna4,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; stCASE
Sema6d,Kdr,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit
Sema6d,Tyrobp,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Sema7a,Itgb1,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit
Shh,Ptch1,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit
Shh,Ptch2,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit
Slit1,Robo1,8,CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Slit2,Robo1,8,CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Slit2,Robo2,8,CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Spp1,Itga4,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit
Spp1,Itga9,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit
Spp1,Itgav,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit
Sst,Sstr4,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; connectomeDB2020_lit; stCASE
Tac2,Tacr3,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; stCASE
Tac4,Tacr1,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Tgfb1,Tgfbr1,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit
Tgfb1,Tgfbr2,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit
Tgfb2,Tgfbr1,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit
Tgfb2,Tgfbr2,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit
Tgfb3,Acvr1,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; stCASE
Tgfb3,Tgfbr2,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit
Tnc,Itgb6,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; stCASE
Tnc,Sdc4,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; stCASE
Tnfsf13,Tnfrsf13b,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; connectomeDB2020_lit; stCASE
Tnfsf13,Tnfrsf17,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; connectomeDB2020_lit; stCASE
Tnfsf13b,Tnfrsf13b,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; connectomeDB2020_lit; stCASE
Tnfsf13b,Tnfrsf17,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; connectomeDB2020_lit; stCASE
Tnfsf14,Tnfrsf14,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit
Tnfsf15,Tnfrsf25,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; connectomeDB2020_lit; stCASE
Tnfsf18,Tnfrsf18,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; connectomeDB2020_lit; stCASE
Tnfsf4,Tnfrsf4,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; connectomeDB2020_lit; stCASE
Tnfsf8,Tnfrsf8,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; connectomeDB2020_lit; stCASE
Uts2b,Sstr5,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; stCASE
Vegfd,Flt4,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Vegfd,Kdr,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Vtn,Itga8,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit
Vtn,Itgav,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit
Vtn,Itgb5,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; stCASE
Vtn,Plaur,8,CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Vwf,Itga2b,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit
Vwf,Itgb3,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; stCASE
Wnt1,Fzd1,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit
Wnt1,Fzd10,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit
Wnt1,Lrp5,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; stCASE
Wnt10b,Fzd5,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; stCASE
Wnt10b,Fzd7,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit
Wnt10b,Lrp6,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; stCASE
Wnt2,Fzd1,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit
Wnt2,Lrp5,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; stCASE
Wnt3,Fzd1,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit
Wnt3,Lrp5,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; stCASE
Wnt3a,Fzd1,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit
Wnt3a,Fzd3,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; stCASE
Wnt3a,Lrp5,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; stCASE
Wnt4,Lrp6,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; stCASE
Wnt5a,Fzd9,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; stCASE
Wnt7a,Fzd1,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit
Wnt7a,Fzd7,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; stCASE
Wnt7a,Lrp5,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; stCASE
Wnt7a,Lrp6,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; stCASE
Wnt7b,Fzd1,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit
Wnt8a,Fzd4,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit
Wnt8a,Fzd5,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit
Wnt8a,Fzd7,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; stCASE
Wnt8a,Lrp6,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; stCASE
Wnt8b,Lrp6,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; stCASE
Wnt9a,Fzd4,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit
Wnt9b,Lrp5,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; stCASE
Wnt9b,Lrp6,8,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; stCASE
Adm,Calcr,7,COMMOT_CellChat; CellChatDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SpaCcLink; connectomeDB2020_lit; stCASE
Angpt2,Itga5,7,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink
Apela,Aplnr,7,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; SPIDER_internal; SpaCcLink; connectomeDB2020_lit
Apoe,Trem2,7,CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; stCASE
App,Tnfrsf21,7,CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; connectomeDB2020_lit; stCASE
Bmp10,Acvr2a,7,COMMOT_CellChat; CellChatDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SpaCcLink; connectomeDB2020_lit; stCASE
Bmp5,Bmpr1a,7,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink
Bmp5,Bmpr1b,7,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink
Bmp6,Acvr2a,7,COMMOT_CellChat; CellChatDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SpaCcLink; connectomeDB2020_lit; stCASE
C3,Itgb2,7,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; SPIDER_internal; SpaCcLink; connectomeDB2020_lit
Ccl17,Ackr1,7,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; SPIDER_internal; connectomeDB2020_lit; stCASE
Ccl19,Ackr4,7,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; SPIDER_internal; connectomeDB2020_lit; stCASE
Ccl2,Ackr1,7,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; SPIDER_internal; connectomeDB2020_lit; stCASE
Ccl21b,Ccr7,7,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink
Ccl26,Ccr3,7,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; SPIDER_internal; SpaCcLink; connectomeDB2020_lit
Ccl27b,Ccr10,7,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink
Ccl5,Ackr1,7,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; SPIDER_internal; connectomeDB2020_lit; stCASE
Ccl8,Ccr1,7,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; SPIDER_internal; SpaCcLink; connectomeDB2020_lit
Ccl8,Ccr2,7,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; SPIDER_internal; SpaCcLink; connectomeDB2020_lit
Ccl8,Ccr5,7,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; SPIDER_internal; SpaCcLink; connectomeDB2020_lit
Ccl9,Ccr1,7,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; SPIDER_internal; SpaCcLink; stCASE
Cd6,Alcam,7,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; SPIDER_internal; connectomeDB2020_lit; stCASE
